"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"POLR2F","ENSG00000100142","","RNA polymerase II, I and III subunit F(POLR2F)","Homo sapiens"
"POLR2G","ENSG00000168002","","RNA polymerase II subunit G(POLR2G)","Homo sapiens"
"POLR2H","ENSG00000163882","","RNA polymerase II, I and III subunit H(POLR2H)","Homo sapiens"
"POLR2I","ENSG00000105258","","RNA polymerase II subunit I(POLR2I)","Homo sapiens"
"POLR2J","ENSG00000005075","","RNA polymerase II subunit J(POLR2J)","Homo sapiens"
"POLR2J2","ENSG00000228049","","RNA polymerase II subunit J2(POLR2J2)","Homo sapiens"
"POLR2K","ENSG00000147669","","RNA polymerase II, I and III subunit K(POLR2K)","Homo sapiens"
"POLR2L","ENSG00000177700","","RNA polymerase II, I and III subunit L(POLR2L)","Homo sapiens"
"POLR2M","ENSG00000255529","","RNA polymerase II subunit M(POLR2M)","Homo sapiens"
"POLR3A","ENSG00000148606","","RNA polymerase III subunit A(POLR3A)","Homo sapiens"
"POLR3B","ENSG00000013503","","RNA polymerase III subunit B(POLR3B)","Homo sapiens"
"POLR3C","ENSG00000186141","","RNA polymerase III subunit C(POLR3C)","Homo sapiens"
"POLR3D","ENSG00000168495","","RNA polymerase III subunit D(POLR3D)","Homo sapiens"
"POLR3E","ENSG00000058600","","RNA polymerase III subunit E(POLR3E)","Homo sapiens"
"POLR3F","ENSG00000132664","","RNA polymerase III subunit F(POLR3F)","Homo sapiens"
"POLR3G","ENSG00000113356","","RNA polymerase III subunit G(POLR3G)","Homo sapiens"
"POLR3H","ENSG00000100413","","RNA polymerase III subunit H(POLR3H)","Homo sapiens"
"POLR3K","ENSG00000161980","","RNA polymerase III subunit K(POLR3K)","Homo sapiens"
"POLRMT","ENSG00000099821","","RNA polymerase mitochondrial(POLRMT)","Homo sapiens"
"POM121","ENSG00000196313","","POM121 transmembrane nucleoporin(POM121)","Homo sapiens"
"POM121C","ENSG00000272391","","POM121 transmembrane nucleoporin C(POM121C)","Homo sapiens"
"POMC","ENSG00000115138","","proopiomelanocortin(POMC)","Homo sapiens"
"POMGNT1","ENSG00000085998","","protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)(POMGNT1)","Homo sapiens"
"POMGNT2","ENSG00000144647","","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)(POMGNT2)","Homo sapiens"
"POMK","ENSG00000185900","","protein O-mannose kinase(POMK)","Homo sapiens"
"POMP","ENSG00000132963","","proteasome maturation protein(POMP)","Homo sapiens"
"POMT1","ENSG00000130714","","protein O-mannosyltransferase 1(POMT1)","Homo sapiens"
"POMT2","ENSG00000009830","","protein O-mannosyltransferase 2(POMT2)","Homo sapiens"
"PON2","ENSG00000105854","","paraoxonase 2(PON2)","Homo sapiens"
"PON3","ENSG00000105852","","paraoxonase 3(PON3)","Homo sapiens"
"POP1","ENSG00000104356","","POP1 homolog, ribonuclease P/MRP subunit(POP1)","Homo sapiens"
"POP4","ENSG00000105171","","POP4 homolog, ribonuclease P/MRP subunit(POP4)","Homo sapiens"
"POP5","ENSG00000167272","","POP5 homolog, ribonuclease P/MRP subunit(POP5)","Homo sapiens"
"POP7","ENSG00000172336","","POP7 homolog, ribonuclease P/MRP subunit(POP7)","Homo sapiens"
"POPDC1","ENSG00000112276","","popeye domain cAMP effector 1(POPDC1)","Homo sapiens"
"POPDC2","ENSG00000121577","","popeye domain cAMP effector 2(POPDC2)","Homo sapiens"
"POR","ENSG00000127948","","cytochrome p450 oxidoreductase(POR)","Homo sapiens"
"PORCN","ENSG00000102312","","porcupine O-acyltransferase(PORCN)","Homo sapiens"
"POSTN","ENSG00000133110","","periostin(POSTN)","Homo sapiens"
"POT1","ENSG00000128513","","protection of telomeres 1(POT1)","Homo sapiens"
"POTEE","ENSG00000188219","","POTE ankyrin domain family member E(POTEE)","Homo sapiens"
"POU2AF1","ENSG00000110777","","POU class 2 homeobox associating factor 1(POU2AF1)","Homo sapiens"
"POU2AF3","ENSG00000214290","","POU class 2 homeobox associating factor 3(POU2AF3)","Homo sapiens"
"POU2F1","ENSG00000143190","","POU class 2 homeobox 1(POU2F1)","Homo sapiens"
"POU2F3","ENSG00000137709","","POU class 2 homeobox 3(POU2F3)","Homo sapiens"
"POU5F1","ENSG00000204531","","POU class 5 homeobox 1(POU5F1)","Homo sapiens"
"POU5F1P3","ENSG00000235602","","POU class 5 homeobox 1 pseudogene 3(POU5F1P3)","Homo sapiens"
"POU6F1","ENSG00000184271","","POU class 6 homeobox 1(POU6F1)","Homo sapiens"
"PPA1","ENSG00000180817","","inorganic pyrophosphatase 1(PPA1)","Homo sapiens"
"PPA2","ENSG00000138777","","inorganic pyrophosphatase 2(PPA2)","Homo sapiens"
"PPAN","ENSG00000130810","","peter pan homolog(PPAN)","Homo sapiens"
"PPARA","ENSG00000186951","","peroxisome proliferator activated receptor alpha(PPARA)","Homo sapiens"
"PPARD","ENSG00000112033","","peroxisome proliferator activated receptor delta(PPARD)","Homo sapiens"
"PPARG","ENSG00000132170","","peroxisome proliferator activated receptor gamma(PPARG)","Homo sapiens"
"PPARGC1A","ENSG00000109819","","PPARG coactivator 1 alpha(PPARGC1A)","Homo sapiens"
"PPARGC1B","ENSG00000155846","","PPARG coactivator 1 beta(PPARGC1B)","Homo sapiens"
"PPAT","ENSG00000128059","","phosphoribosyl pyrophosphate amidotransferase(PPAT)","Homo sapiens"
"PPBP","ENSG00000163736","","pro-platelet basic protein(PPBP)","Homo sapiens"
"PPCDC","ENSG00000138621","","phosphopantothenoylcysteine decarboxylase(PPCDC)","Homo sapiens"
"PPCS","ENSG00000127125","","phosphopantothenoylcysteine synthetase(PPCS)","Homo sapiens"
"PPDPF","ENSG00000125534","","pancreatic progenitor cell differentiation and proliferation factor(PPDPF)","Homo sapiens"
"PPFIA1","ENSG00000131626","","PTPRF interacting protein alpha 1(PPFIA1)","Homo sapiens"
"PPFIA3","ENSG00000177380","","PTPRF interacting protein alpha 3(PPFIA3)","Homo sapiens"
"PPFIBP1","ENSG00000110841","","PPFIA binding protein 1(PPFIBP1)","Homo sapiens"
"PPFIBP2","ENSG00000166387","","PPFIA binding protein 2(PPFIBP2)","Homo sapiens"
"PPHLN1","ENSG00000134283","","periphilin 1(PPHLN1)","Homo sapiens"
"PPIA","ENSG00000196262","","peptidylprolyl isomerase A(PPIA)","Homo sapiens"
"PPIAL4A","ENSG00000263353","","peptidylprolyl isomerase A like 4A(PPIAL4A)","Homo sapiens"
"PPIAP39","ENSG00000230018","","peptidylprolyl isomerase A pseudogene 39(PPIAP39)","Homo sapiens"
"PPIB","ENSG00000166794","","peptidylprolyl isomerase B(PPIB)","Homo sapiens"
"PPIC","ENSG00000168938","","peptidylprolyl isomerase C(PPIC)","Homo sapiens"
"PPID","ENSG00000171497","","peptidylprolyl isomerase D(PPID)","Homo sapiens"
"PPIE","ENSG00000084072","","peptidylprolyl isomerase E(PPIE)","Homo sapiens"
"PPIF","ENSG00000108179","","peptidylprolyl isomerase F(PPIF)","Homo sapiens"
"PPIG","ENSG00000138398","","peptidylprolyl isomerase G(PPIG)","Homo sapiens"
"PPIH","ENSG00000171960","","peptidylprolyl isomerase H(PPIH)","Homo sapiens"
"PPIL1","ENSG00000137168","","peptidylprolyl isomerase like 1(PPIL1)","Homo sapiens"
"PPIL2","ENSG00000100023","","peptidylprolyl isomerase like 2(PPIL2)","Homo sapiens"
"PPIL3","ENSG00000240344","","peptidylprolyl isomerase like 3(PPIL3)","Homo sapiens"
"PPIP5K1","ENSG00000168781","","diphosphoinositol pentakisphosphate kinase 1(PPIP5K1)","Homo sapiens"
"PPIP5K2","ENSG00000145725","","diphosphoinositol pentakisphosphate kinase 2(PPIP5K2)","Homo sapiens"
"PPL","ENSG00000118898","","periplakin(PPL)","Homo sapiens"
"PPM1B","ENSG00000138032","","protein phosphatase, Mg2+/Mn2+ dependent 1B(PPM1B)","Homo sapiens"
"PPM1D","ENSG00000170836","","protein phosphatase, Mg2+/Mn2+ dependent 1D(PPM1D)","Homo sapiens"
"PPM1F","ENSG00000100034","","protein phosphatase, Mg2+/Mn2+ dependent 1F(PPM1F)","Homo sapiens"
"PPM1G","ENSG00000115241","","protein phosphatase, Mg2+/Mn2+ dependent 1G(PPM1G)","Homo sapiens"
"PPM1H","ENSG00000111110","","protein phosphatase, Mg2+/Mn2+ dependent 1H(PPM1H)","Homo sapiens"
"PPM1J","ENSG00000155367","","protein phosphatase, Mg2+/Mn2+ dependent 1J(PPM1J)","Homo sapiens"
"PPM1K","ENSG00000163644","","protein phosphatase, Mg2+/Mn2+ dependent 1K(PPM1K)","Homo sapiens"
"PPM1L","ENSG00000163590","","protein phosphatase, Mg2+/Mn2+ dependent 1L(PPM1L)","Homo sapiens"
"PPM1M","ENSG00000164088","","protein phosphatase, Mg2+/Mn2+ dependent 1M(PPM1M)","Homo sapiens"
"PPM1N","ENSG00000213889","","protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)(PPM1N)","Homo sapiens"
"PPME1","ENSG00000214517","","protein phosphatase methylesterase 1(PPME1)","Homo sapiens"
"PPOX","ENSG00000143224","","protoporphyrinogen oxidase(PPOX)","Homo sapiens"
"PPP1CA","ENSG00000172531","","protein phosphatase 1 catalytic subunit alpha(PPP1CA)","Homo sapiens"
"PPP1CB","ENSG00000213639","","protein phosphatase 1 catalytic subunit beta(PPP1CB)","Homo sapiens"
"PPP1CB-DT","ENSG00000226833","","PPP1CB divergent transcript(PPP1CB-DT)","Homo sapiens"
"PPP1CC","ENSG00000186298","","protein phosphatase 1 catalytic subunit gamma(PPP1CC)","Homo sapiens"
"PPP1R10","ENSG00000204569","","protein phosphatase 1 regulatory subunit 10(PPP1R10)","Homo sapiens"
"PPP1R11","ENSG00000204619","","protein phosphatase 1 regulatory inhibitor subunit 11(PPP1R11)","Homo sapiens"
"PPP1R12A","ENSG00000058272","","protein phosphatase 1 regulatory subunit 12A(PPP1R12A)","Homo sapiens"
"PPP1R12B","ENSG00000077157","","protein phosphatase 1 regulatory subunit 12B(PPP1R12B)","Homo sapiens"
"PPP1R12C","ENSG00000125503","","protein phosphatase 1 regulatory subunit 12C(PPP1R12C)","Homo sapiens"
"PPP1R13B","ENSG00000088808","","protein phosphatase 1 regulatory subunit 13B(PPP1R13B)","Homo sapiens"
"PPP1R13L","ENSG00000104881","","protein phosphatase 1 regulatory subunit 13 like(PPP1R13L)","Homo sapiens"
"PPP1R14A","ENSG00000167641","","protein phosphatase 1 regulatory inhibitor subunit 14A(PPP1R14A)","Homo sapiens"
"PPP1R14B","ENSG00000173457","","protein phosphatase 1 regulatory inhibitor subunit 14B(PPP1R14B)","Homo sapiens"
"PPP1R14B-AS1","ENSG00000256940","","PPP1R14B antisense RNA 1(PPP1R14B-AS1)","Homo sapiens"
"PPP1R14C","ENSG00000198729","","protein phosphatase 1 regulatory inhibitor subunit 14C(PPP1R14C)","Homo sapiens"
"PPP1R14D","ENSG00000166143","","protein phosphatase 1 regulatory inhibitor subunit 14D(PPP1R14D)","Homo sapiens"
"PPP1R15A","ENSG00000087074","","protein phosphatase 1 regulatory subunit 15A(PPP1R15A)","Homo sapiens"
"PPP1R15B","ENSG00000158615","","protein phosphatase 1 regulatory subunit 15B(PPP1R15B)","Homo sapiens"
"PPP1R16A","ENSG00000160972","","protein phosphatase 1 regulatory subunit 16A(PPP1R16A)","Homo sapiens"
"PPP1R16B","ENSG00000101445","","protein phosphatase 1 regulatory subunit 16B(PPP1R16B)","Homo sapiens"
"PPP1R18","ENSG00000146112","","protein phosphatase 1 regulatory subunit 18(PPP1R18)","Homo sapiens"
"PPP1R1A","ENSG00000135447","","protein phosphatase 1 regulatory inhibitor subunit 1A(PPP1R1A)","Homo sapiens"
"PPP1R1B","ENSG00000131771","","protein phosphatase 1 regulatory inhibitor subunit 1B(PPP1R1B)","Homo sapiens"
"PPP1R2","ENSG00000184203","","protein phosphatase 1 regulatory inhibitor subunit 2(PPP1R2)","Homo sapiens"
"PPP1R26","ENSG00000196422","","protein phosphatase 1 regulatory subunit 26(PPP1R26)","Homo sapiens"
"PPP1R2B","ENSG00000231989","","PPP1R2 family member B(PPP1R2B)","Homo sapiens"
"PPP1R35","ENSG00000160813","","protein phosphatase 1 regulatory subunit 35(PPP1R35)","Homo sapiens"
"PPP1R37","ENSG00000104866","","protein phosphatase 1 regulatory subunit 37(PPP1R37)","Homo sapiens"
"PPP1R3B","ENSG00000173281","","protein phosphatase 1 regulatory subunit 3B(PPP1R3B)","Homo sapiens"
"PPP1R3C","ENSG00000119938","","protein phosphatase 1 regulatory subunit 3C(PPP1R3C)","Homo sapiens"
"PPP1R3D","ENSG00000132825","","protein phosphatase 1 regulatory subunit 3D(PPP1R3D)","Homo sapiens"
"PPP1R3E","ENSG00000235194","","protein phosphatase 1 regulatory subunit 3E(PPP1R3E)","Homo sapiens"
"PPP1R3F","ENSG00000049769","","protein phosphatase 1 regulatory subunit 3F(PPP1R3F)","Homo sapiens"
"PPP1R42","ENSG00000178125","","protein phosphatase 1 regulatory subunit 42(PPP1R42)","Homo sapiens"
"PPP1R7","ENSG00000115685","","protein phosphatase 1 regulatory subunit 7(PPP1R7)","Homo sapiens"
"PPP1R8","ENSG00000117751","","protein phosphatase 1 regulatory subunit 8(PPP1R8)","Homo sapiens"
"PPP1R9A","ENSG00000158528","","protein phosphatase 1 regulatory subunit 9A(PPP1R9A)","Homo sapiens"
"PPP1R9B","ENSG00000108819","","protein phosphatase 1 regulatory subunit 9B(PPP1R9B)","Homo sapiens"
"PPP2CA","ENSG00000113575","","protein phosphatase 2 catalytic subunit alpha(PPP2CA)","Homo sapiens"
"PPP2CB","ENSG00000104695","","protein phosphatase 2 catalytic subunit beta(PPP2CB)","Homo sapiens"
"PPP2R1A","ENSG00000105568","","protein phosphatase 2 scaffold subunit Aalpha(PPP2R1A)","Homo sapiens"
"PPP2R1B","ENSG00000137713","","protein phosphatase 2 scaffold subunit Abeta(PPP2R1B)","Homo sapiens"
"PPP2R2D","ENSG00000175470","","protein phosphatase 2 regulatory subunit Bdelta(PPP2R2D)","Homo sapiens"
"PPP2R3A","ENSG00000073711","","protein phosphatase 2 regulatory subunit B''alpha(PPP2R3A)","Homo sapiens"
"PPP2R3B","ENSG00000167393","","protein phosphatase 2 regulatory subunit B''beta(PPP2R3B)","Homo sapiens"
"PPP2R3C","ENSG00000092020","","protein phosphatase 2 regulatory subunit B''gamma(PPP2R3C)","Homo sapiens"
"PPP2R5B","ENSG00000068971","","protein phosphatase 2 regulatory subunit B'beta(PPP2R5B)","Homo sapiens"
"PPP2R5C","ENSG00000078304","","protein phosphatase 2 regulatory subunit B'gamma(PPP2R5C)","Homo sapiens"
"PPP2R5D","ENSG00000112640","","protein phosphatase 2 regulatory subunit B'delta(PPP2R5D)","Homo sapiens"
"PPP2R5E","ENSG00000154001","","protein phosphatase 2 regulatory subunit B'epsilon(PPP2R5E)","Homo sapiens"
"PPP3CA","ENSG00000138814","","protein phosphatase 3 catalytic subunit alpha(PPP3CA)","Homo sapiens"
"PPP3CA-DT","ENSG00000254531","","PPP3CA divergent transcript(PPP3CA-DT)","Homo sapiens"
"PPP3CB","ENSG00000107758","","protein phosphatase 3 catalytic subunit beta(PPP3CB)","Homo sapiens"
"PPP3CB-AS1","ENSG00000221817","","PPP3CB antisense RNA 1 (head to head)(PPP3CB-AS1)","Homo sapiens"
"PPP3CC","ENSG00000120910","","protein phosphatase 3 catalytic subunit gamma(PPP3CC)","Homo sapiens"
"PPP3R1","ENSG00000221823","","protein phosphatase 3 regulatory subunit B, alpha(PPP3R1)","Homo sapiens"
"PPP4C","ENSG00000149923","","protein phosphatase 4 catalytic subunit(PPP4C)","Homo sapiens"
"PPP4R1","ENSG00000154845","","protein phosphatase 4 regulatory subunit 1(PPP4R1)","Homo sapiens"
"PPP4R2","ENSG00000163605","","protein phosphatase 4 regulatory subunit 2(PPP4R2)","Homo sapiens"
"PPP4R3A","ENSG00000100796","","protein phosphatase 4 regulatory subunit 3A(PPP4R3A)","Homo sapiens"
"PPP4R3B","ENSG00000275052","","protein phosphatase 4 regulatory subunit 3B(PPP4R3B)","Homo sapiens"
"PPP6C","ENSG00000119414","","protein phosphatase 6 catalytic subunit(PPP6C)","Homo sapiens"
"PPP6R1","ENSG00000105063","","protein phosphatase 6 regulatory subunit 1(PPP6R1)","Homo sapiens"
"PPP6R2","ENSG00000100239","","protein phosphatase 6 regulatory subunit 2(PPP6R2)","Homo sapiens"
"PPRC1","ENSG00000148840","","PPARG related coactivator 1(PPRC1)","Homo sapiens"
"PPT1","ENSG00000131238","","palmitoyl-protein thioesterase 1(PPT1)","Homo sapiens"
"PPT2","ENSG00000221988","","palmitoyl-protein thioesterase 2(PPT2)","Homo sapiens"
"PPT2-EGFL8","ENSG00000258388","","PPT2-EGFL8 readthrough (NMD candidate)(PPT2-EGFL8)","Homo sapiens"
"PPTC7","ENSG00000196850","","protein phosphatase targeting COQ7(PPTC7)","Homo sapiens"
"PPWD1","ENSG00000113593","","peptidylprolyl isomerase domain and WD repeat containing 1(PPWD1)","Homo sapiens"
"PQBP1","ENSG00000102103","","polyglutamine binding protein 1(PQBP1)","Homo sapiens"
"PRADC1","ENSG00000135617","","protease associated domain containing 1(PRADC1)","Homo sapiens"
"PRADX","ENSG00000235027","","PRC2 and DDX5 associated lncRNA(PRADX)","Homo sapiens"
"PRAF2","ENSG00000243279","","PRA1 domain family member 2(PRAF2)","Homo sapiens"
"PRAG1","ENSG00000275342","","PEAK1 related, kinase-activating pseudokinase 1(PRAG1)","Homo sapiens"
"PRAM1","ENSG00000133246","","PML-RARA regulated adaptor molecule 1(PRAM1)","Homo sapiens"
"PRAME","ENSG00000185686","","PRAME nuclear receptor transcriptional regulator(PRAME)","Homo sapiens"
"PRANCR","ENSG00000257815","","progenitor renewal associated non-coding RNA(PRANCR)","Homo sapiens"
"PRC1","ENSG00000198901","","protein regulator of cytokinesis 1(PRC1)","Homo sapiens"
"PRC1-AS1","ENSG00000258725","","PRC1 antisense RNA 1(PRC1-AS1)","Homo sapiens"
"PRCC","ENSG00000143294","","proline rich mitotic checkpoint control factor(PRCC)","Homo sapiens"
"PRCD","ENSG00000214140","","photoreceptor disc component(PRCD)","Homo sapiens"
"PRCP","ENSG00000137509","","prolylcarboxypeptidase(PRCP)","Homo sapiens"
"PRDM1","ENSG00000057657","","PR/SET domain 1(PRDM1)","Homo sapiens"
"PRDM10","ENSG00000170325","","PR/SET domain 10(PRDM10)","Homo sapiens"
"PRDM11","ENSG00000019485","","PR/SET domain 11(PRDM11)","Homo sapiens"
"PRDM15","ENSG00000141956","","PR/SET domain 15(PRDM15)","Homo sapiens"
"PRDM16","ENSG00000142611","","PR/SET domain 16(PRDM16)","Homo sapiens"
"PRDM16-DT","ENSG00000177133","","PRDM16 divergent transcript(PRDM16-DT)","Homo sapiens"
"PRDM2","ENSG00000116731","","PR/SET domain 2(PRDM2)","Homo sapiens"
"PRDM4","ENSG00000110851","","PR/SET domain 4(PRDM4)","Homo sapiens"
"PRDM5","ENSG00000138738","","PR/SET domain 5(PRDM5)","Homo sapiens"
"PRDM6","ENSG00000061455","","PR/SET domain 6(PRDM6)","Homo sapiens"
"PRDM8","ENSG00000152784","","PR/SET domain 8(PRDM8)","Homo sapiens"
"PRDX1","ENSG00000117450","","peroxiredoxin 1(PRDX1)","Homo sapiens"
"PRDX2","ENSG00000167815","","peroxiredoxin 2(PRDX2)","Homo sapiens"
"PRDX3","ENSG00000165672","","peroxiredoxin 3(PRDX3)","Homo sapiens"
"PRDX4","ENSG00000123131","","peroxiredoxin 4(PRDX4)","Homo sapiens"
"PRDX5","ENSG00000126432","","peroxiredoxin 5(PRDX5)","Homo sapiens"
"PRDX6","ENSG00000117592","","peroxiredoxin 6(PRDX6)","Homo sapiens"
"PRDX6-AS1","ENSG00000203739","","PRDX6 antisense RNA 1(PRDX6-AS1)","Homo sapiens"
"PREB","ENSG00000138073","","prolactin regulatory element binding(PREB)","Homo sapiens"
"PRECSIT","ENSG00000255874","","p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript(PRECSIT)","Homo sapiens"
"PRELID1","ENSG00000169230","","PRELI domain containing 1(PRELID1)","Homo sapiens"
"PRELID3A","ENSG00000141391","","PRELI domain containing 3A(PRELID3A)","Homo sapiens"
"PRELID3B","ENSG00000101166","","PRELI domain containing 3B(PRELID3B)","Homo sapiens"
"PRELP","ENSG00000188783","","proline and arginine rich end leucine rich repeat protein(PRELP)","Homo sapiens"
"PREP","ENSG00000085377","","prolyl endopeptidase(PREP)","Homo sapiens"
"PREPL","ENSG00000138078","","prolyl endopeptidase like(PREPL)","Homo sapiens"
"PREX1","ENSG00000124126","","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1(PREX1)","Homo sapiens"
"PREX2","ENSG00000046889","","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2(PREX2)","Homo sapiens"
"PRF1","ENSG00000180644","","perforin 1(PRF1)","Homo sapiens"
"PRG2","ENSG00000186652","","proteoglycan 2, pro eosinophil major basic protein(PRG2)","Homo sapiens"
"PRG4","ENSG00000116690","","proteoglycan 4(PRG4)","Homo sapiens"
"PRH1","ENSG00000231887","","proline rich protein HaeIII subfamily 1(PRH1)","Homo sapiens"
"PRH1-TAS2R14","ENSG00000212127","","PRH1-TAS2R14 readthrough(PRH1-TAS2R14)","Homo sapiens"
"PRICKLE1","ENSG00000139174","","prickle planar cell polarity protein 1(PRICKLE1)","Homo sapiens"
"PRICKLE2","ENSG00000163637","","prickle planar cell polarity protein 2(PRICKLE2)","Homo sapiens"
"PRICKLE2-AS1","ENSG00000241111","","PRICKLE2 antisense RNA 1(PRICKLE2-AS1)","Homo sapiens"
"PRICKLE4","ENSG00000278224","","prickle planar cell polarity protein 4(PRICKLE4)","Homo sapiens"
"PRIM1","ENSG00000198056","","DNA primase subunit 1(PRIM1)","Homo sapiens"
"PRIM2","ENSG00000146143","","DNA primase subunit 2(PRIM2)","Homo sapiens"
"PRIMA1","ENSG00000175785","","proline rich membrane anchor 1(PRIMA1)","Homo sapiens"
"PRKAA1","ENSG00000132356","","protein kinase AMP-activated catalytic subunit alpha 1(PRKAA1)","Homo sapiens"
"PRKAA2","ENSG00000162409","","protein kinase AMP-activated catalytic subunit alpha 2(PRKAA2)","Homo sapiens"
"PRKAB1","ENSG00000111725","","protein kinase AMP-activated non-catalytic subunit beta 1(PRKAB1)","Homo sapiens"
"PRKAB1-AS1","ENSG00000248636","","PRKAB1, TMEM233 and CCDC60 antisense RNA 1(PRKAB1-AS1)","Homo sapiens"
"PRKAB2","ENSG00000131791","","protein kinase AMP-activated non-catalytic subunit beta 2(PRKAB2)","Homo sapiens"
"PRKACA","ENSG00000072062","","protein kinase cAMP-activated catalytic subunit alpha(PRKACA)","Homo sapiens"
"PRKACB","ENSG00000142875","","protein kinase cAMP-activated catalytic subunit beta(PRKACB)","Homo sapiens"
"PRKAG1","ENSG00000181929","","protein kinase AMP-activated non-catalytic subunit gamma 1(PRKAG1)","Homo sapiens"
"PRKAR1A","ENSG00000108946","","protein kinase cAMP-dependent type I regulatory subunit alpha(PRKAR1A)","Homo sapiens"
"PRKAR1B","ENSG00000188191","","protein kinase cAMP-dependent type I regulatory subunit beta(PRKAR1B)","Homo sapiens"
"PRKAR1B-AS1","ENSG00000237181","","PRKAR1B antisense RNA 1(PRKAR1B-AS1)","Homo sapiens"
"PRKAR2A","ENSG00000114302","","protein kinase cAMP-dependent type II regulatory subunit alpha(PRKAR2A)","Homo sapiens"
"PRKAR2B","ENSG00000005249","","protein kinase cAMP-dependent type II regulatory subunit beta(PRKAR2B)","Homo sapiens"
"PRKCA","ENSG00000154229","","protein kinase C alpha(PRKCA)","Homo sapiens"
"PRKCB","ENSG00000166501","","protein kinase C beta(PRKCB)","Homo sapiens"
"PRKCD","ENSG00000163932","","protein kinase C delta(PRKCD)","Homo sapiens"
"PRKCE","ENSG00000171132","","protein kinase C epsilon(PRKCE)","Homo sapiens"
"PRKCH","ENSG00000027075","","protein kinase C eta(PRKCH)","Homo sapiens"
"PRKCH-AS2","ENSG00000258926","","PRKCH antisense RNA 2(PRKCH-AS2)","Homo sapiens"
"PRKCI","ENSG00000163558","","protein kinase C iota(PRKCI)","Homo sapiens"
"PRKCQ","ENSG00000065675","","protein kinase C theta(PRKCQ)","Homo sapiens"
"PRKCQ-AS1","ENSG00000237943","","PRKCQ antisense RNA 1(PRKCQ-AS1)","Homo sapiens"
"PRKCSH","ENSG00000130175","","PRKCSH beta subunit of glucosidase II(PRKCSH)","Homo sapiens"
"PRKCZ","ENSG00000067606","","protein kinase C zeta(PRKCZ)","Homo sapiens"
"PRKCZ-AS1","ENSG00000182873","","PRKCZ antisense RNA 1(PRKCZ-AS1)","Homo sapiens"
"PRKD1","ENSG00000184304","","protein kinase D1(PRKD1)","Homo sapiens"
"PRKD2","ENSG00000105287","","protein kinase D2(PRKD2)","Homo sapiens"
"PRKD3","ENSG00000115825","","protein kinase D3(PRKD3)","Homo sapiens"
"PRKDC","ENSG00000253729","","protein kinase, DNA-activated, catalytic subunit(PRKDC)","Homo sapiens"
"PRKG1","ENSG00000185532","","protein kinase cGMP-dependent 1(PRKG1)","Homo sapiens"
"PRKG1-AS1","ENSG00000236671","","PRKG1 antisense RNA 1(PRKG1-AS1)","Homo sapiens"
"PRKRA","ENSG00000180228","","protein activator of interferon induced protein kinase EIF2AK2(PRKRA)","Homo sapiens"
"PRKRIP1","ENSG00000128563","","PRKR interacting protein 1(PRKRIP1)","Homo sapiens"
"PRKX","ENSG00000183943","","protein kinase cAMP-dependent X-linked catalytic subunit(PRKX)","Homo sapiens"
"PRL","ENSG00000172179","","prolactin(PRL)","Homo sapiens"
"PRMT1","ENSG00000126457","","protein arginine methyltransferase 1(PRMT1)","Homo sapiens"
"PRMT2","ENSG00000160310","","protein arginine methyltransferase 2(PRMT2)","Homo sapiens"
"PRMT3","ENSG00000185238","","protein arginine methyltransferase 3(PRMT3)","Homo sapiens"
"PRMT5","ENSG00000100462","","protein arginine methyltransferase 5(PRMT5)","Homo sapiens"
"PRMT5-AS1","ENSG00000237054","","PRMT5 antisense RNA 1(PRMT5-AS1)","Homo sapiens"
"PRMT5-DT","ENSG00000257285","","PRMT5 divergent transcript(PRMT5-DT)","Homo sapiens"
"PRMT6","ENSG00000198890","","protein arginine methyltransferase 6(PRMT6)","Homo sapiens"
"PRMT7","ENSG00000132600","","protein arginine methyltransferase 7(PRMT7)","Homo sapiens"
"PRMT9","ENSG00000164169","","protein arginine methyltransferase 9(PRMT9)","Homo sapiens"
"PRNP","ENSG00000171867","","prion protein (Kanno blood group)(PRNP)","Homo sapiens"
"PROCA1","ENSG00000167525","","protein interacting with cyclin A1(PROCA1)","Homo sapiens"
"PROCR","ENSG00000101000","","protein C receptor(PROCR)","Homo sapiens"
"PRODH","ENSG00000100033","","proline dehydrogenase 1(PRODH)","Homo sapiens"
"PROK2","ENSG00000163421","","prokineticin 2(PROK2)","Homo sapiens"
"PROM1","ENSG00000007062","","prominin 1(PROM1)","Homo sapiens"
"PROM2","ENSG00000155066","","prominin 2(PROM2)","Homo sapiens"
"PRORP","ENSG00000100890","","protein only RNase P catalytic subunit(PRORP)","Homo sapiens"
"PROS1","ENSG00000184500","","protein S(PROS1)","Homo sapiens"
"PROSER1","ENSG00000120685","","proline and serine rich 1(PROSER1)","Homo sapiens"
"PROSER2","ENSG00000148426","","proline and serine rich 2(PROSER2)","Homo sapiens"
"PROSER3","ENSG00000167595","","proline and serine rich 3(PROSER3)","Homo sapiens"
"PROX1","ENSG00000117707","","prospero homeobox 1(PROX1)","Homo sapiens"
